FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINMA; DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
05/10/2016 22:00;80.0;84.0;78.0;0.0;;;13.0;13.0;11.7;196.0;2.6
05/10/2016 21:00;;84.0;79.0;0.0;;;;13.4;11.8;;
05/10/2016 20:00;;85.0;79.0;0.0;;;;14.0;13.3;;
05/10/2016 19:00;80.0;85.0;71.0;0.0;0.0;;14.0;14.7;13.6;33.0;0.3
05/10/2016 18:00;74.0;91.0;68.0;0.0;;;14.7;15.1;14.2;60.0;1.0
05/10/2016 17:00;70.0;79.0;69.0;0.0;;;15.2;15.6;14.6;22.0;1.7
05/10/2016 15:00;;95.0;89.0;0.0;;;;15.4;14.7;;
05/10/2016 14:00;95.0;96.0;59.0;0.0;;;14.7;16.7;14.5;32.0;2.1
05/10/2016 13:00;78.0;90.0;72.0;0.0;0.0;;16.5;17.4;15.1;27.0;1.5
05/10/2016 12:00;;90.0;75.0;0.0;;;;17.8;16.1;;
05/10/2016 11:00;75.0;82.0;67.0;0.0;;;17.2;18.7;16.7;46.0;2.2
05/10/2016 10:00;72.0;79.0;67.0;0.0;;;17.2;18.0;16.4;27.0;1.9
05/10/2016 9:00;73.0;76.0;54.0;0.0;;;16.7;19.2;16.2;25.0;2.1
05/10/2016 8:00;57.0;75.0;56.0;0.0;;;18.9;19.0;11.7;119.0;1.0
05/10/2016 7:00;74.0;76.0;73.0;0.0;0.0;;11.6;11.7;11.0;181.0;3.0
05/10/2016 6:00;76.0;80.0;74.0;0.0;;;10.9;11.3;10.4;192.0;2.7
05/10/2016 5:00;76.0;77.0;73.0;0.0;;;11.0;11.7;10.7;182.0;4.6
05/10/2016 4:00;76.0;84.0;74.0;0.0;;;11.3;11.6;10.3;170.0;4.0
05/10/2016 3:00;84.0;87.0;78.0;0.0;;;10.2;10.9;9.6;182.0;3.6
05/10/2016 2:00;78.0;85.0;78.0;0.0;;;10.9;11.0;9.9;185.0;2.0
05/10/2016 1:00;79.0;82.0;77.0;0.0;;;10.9;11.5;10.5;183.0;3.0
05/10/2016 0:00;77.0;77.0;75.0;0.0;;;11.5;12.0;11.4;181.0;2.8
04/10/2016 23:00;76.0;79.0;75.0;0.0;;;12.0;12.6;11.6;186.0;4.1
